taxonomy_code,sncrf_account_codes,description
107,2314,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Outros financiamentos (CORRENTE)
108,2314,Financiamentos obtidos – Instituições de crédito e sociedades financeiras – Outros financiamentos (NÃO CORRENTE)
109,2321,Financiamentos obtidos – Mercado de valores mobiliários – Empréstimos por obrigações (CORRENTE)
110,2321,Financiamentos obtidos – Mercado de valores mobiliários – Empréstimos por obrigações (NÃO CORRENTE)
111,2322,Financiamentos obtidos – Mercado de valores mobiliários – Outros financiamentos (CORRENTE)
112,2322,Financiamentos obtidos – Mercado de valores mobiliários – Outros financiamentos (NÃO CORRENTE)
113,2331,Financiamentos obtidos – Participantes de capital – Empresa-mãe – suprimentos e outros mútuos (CORRENTE)
114,2331,Financiamentos obtidos – Participantes de capital – Empresa-mãe – suprimentos e outros mútuos (NÃO CORRENTE)
115,2332,Financiamentos obtidos – participantes de capital – Outros participantes – suprimentos e outros mútuos (CORRENTE)
116,2332,Financiamentos obtidos – participantes de capital – Outros participantes – suprimentos e outros mútuos (NÃO CORRENTE)
117,234,"Financiamentos obtidos – Subsidiárias, associadas e empreendimentos conjuntos (CORRENTE)"
118,234,"Financiamentos obtidos – Subsidiárias, associadas e empreendimentos conjuntos (NÃO CORRENTE)"
119,238,Financiamentos obtidos – outros financiadores (CORRENTE) Incluir contas 235 |
120,238,Financiamentos obtidos – outros financiadores (NÃO CORRENTE) Incluir contas 235 |
121,2411,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Pagamentos por conta
122,2412,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Retenção na fonte (terceiros)
123,2413,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Imposto estimado
124,2417,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Apuramento
125,2418,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Imposto a pagar
126,2419,Estado e outros entes públicos – Imposto sobre o rendimento ano N – Imposto a recuperar
127,2414,| 2415 | 2416 Estado e outros entes públicos – Imposto sobre o rendimento ano N - Outros
128,2421,Estado e outros entes públicos – Imposto sobre o rendimento anos anteriores – Excesso de estimativa
129,2422,Estado e outros entes públicos – Imposto sobre o rendimento anos anteriores – Insuficiência de estimativa
130,2431,Estado e outros entes públicos – Retenção de impostos sobre rendimentos – trabalho dependente
131,24321,Estado e outros entes públicos – Retenção de impostos sobre rendimentos – trabalho independente (RESIDENTE)
132,24322,Estado e outros entes públicos – Retenção de impostos sobre rendimentos – trabalho independente (NÃO RESIDENTE)
133,2433,Estado e outros entes públicos – Retenção de impostos sobre rendimentos – Capitais
134,2434,Estado e outros entes públicos – Retenção de impostos sobre rendimentos – Prediais
135,2435,Estado e outros entes públicos – Retenção de impostos sobre rendimentos - Outros Incluir contas 2436 |
136,24411,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Suportado - Inventários
137,24412,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Suportado - Investimentos
138,24413,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Suportado – Outros bens e serviços
139,24421,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível - Inventários
140,24422,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível - Investimentos
141,24423,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível – Outros bens e serviços
142,24424,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível – Não pago (decreto lei 16/2004)
143,24425,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Dedutível – Pago (decreto lei 16/2004)
144,24431,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado – Operações gerais
145,24432,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado – Auto consumos e operações gratuitas
146,24433,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado – Operações especiais
147,24434,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado – Não cobrado (decreto lei 16/2004)
148,24435,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Liquidado – Cobrado (decreto lei 16/2004)
149,24441,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações
150,24442,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações
151,24443,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações
152,24444,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações – Anuais por variação do pró rata
153,24448,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações – Outras regularizações anuais
154,24445,| 24446 | Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Regularizações - Outras
155,2445,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Apuramento
156,24461,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A pagar – Valores apurados
157,24462,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A pagar – Liquidações oficiosas
158,2447,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — A recuperar
159,2448,Estado e outros entes públicos - Imposto so- bre o valor acrescentado (IVA) - IVA — Reem- bolsos pedidos
160,2449,Estado e outros entes públicos - Imposto sobre o valor acrescentado (IVA) - IVA — Li- quidações oficiosas
161,246,Estado e outros entes públicos - Outros im- postos
162,247,Estado e outros entes públicos - Tributos das autarquias locais
163,248,Estado e outros entes públicos - Contribuições para a Segurança Social
164,245,| 249 Estado e outros entes públicos - Outras tribu- tações
165,251,Acionistas/sócios - Acionistas c/ subscrição
166,252,Acionistas/sócios - Quotas não liberadas
167,253,Acionistas/sócios - Adiantamentos por conta de lucros
168,254,Acionistas/sócios - Resultados atribuídos
169,255,Acionistas/sócios - Lucros disponíveis
170,256,Acionistas/sócios - Financiamentos concedi- dos — empresa-mãe - (CORRENTE)
171,256,Acionistas/sócios - Financiamentos concedidos — empresa-mãe - (NÃO CORRENTE)
172,258,Acionistas/sócios - Outras operações - (COR- RENTE) Incluir conta 257
173,258,Acionistas/sócios - Outras operações - (NÃO CORRENTE)
174,259,Acionistas/sócios - Perdas por imparidade acumuladas - Acionistas c/ subscrição
175,259,Acionistas/sócios - Perdas por imparidade acumuladas - Quotas não liberadas
176,259,Acionistas/sócios - Perdas por imparidade acumuladas - Adiantamentos por conta de lucros
177,259,Acionistas/sócios - Perdas por imparidade acumuladas - Resultados atribuídos
178,259,Acionistas/sócios - Perdas por imparidade acumuladas - Lucros disponíveis
179,259,Acionistas/sócios - Perdas por imparidade acumuladas - Financiamentos concedidos — empresa-mãe (CORRENTE)
180,259,Acionistas/sócios - Perdas por imparidade acumuladas - Financiamentos concedidos — empresa-mãe (NÃO CORRENTE)
181,259,Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (CORREN-
182,259,Acionistas/sócios - Perdas por imparidade acumuladas - Outras operações (NÃO COR- RENTE)
183,2611,Outras contas a receber e a pagar - Fornece- dores de investimentos - Fornecedores de in- vestimentos — contas gerais - (CORRENTE)
184,2611,Outras contas a receber e a pagar - Forne- cedores de investimentos - Fornecedores de investimentos — contas gerais - (NÃO CORRENTE)
185,2612,Outras contas a receber e a pagar - Fornece- dores de investimentos - Faturas em receção e conferência - (CORRENTE)
186,2612,Outras contas a receber e a pagar - Fornece- dores de investimentos - Faturas em receção e conferência - (NÃO CORRENTE)
187,2613,Outras contas a receber e a pagar - Forne- cedores de investimentos - Adiantamentos a fornecedores de investimentos - (CORREN-
188,2613,Outras contas a receber e a pagar Adiantamentos a fornecedores de investimentos - (NÃO CORRENTE)
189,2621,Outras contas a receber e a pagar - Devedores e credores por acréscimos - Devedores por acréscimos de rendimentos
190,2622,Outras contas a receber e a pagar - Devedores e credores por acréscimos - Credores por acréscimos de gastos
191,263,Outras contas a receber e a pagar - Benefícios pós-emprego
192,2641,Outras contas a receber e a pagar - Impostos diferidos - Ativos por impostos diferidos
193,2642,Outras contas a receber e a pagar - Impostos diferidos - Passivos por impostos diferidos
194,265,Outras contas a receber e a pagar - Credores por subscrições não liberadas - (CORRENTE)
195,265,Outras contas a receber e a pagar - Credores por subscrições não liberadas - (NÃO CORRENTE)
196,266,Outras contas a receber e a pagar - Adiantamentos por conta de vendas
197,268,Outras contas a receber e a pagar - Outros devedores e credores - (CORRENTE) Incluir conta 267
198,268,Outras contas a receber e a pagar - Outros devedores e credores - (NÃO CORRENTE) Incluir conta 267
199,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (CORRENTE)
200,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Fornecedores de investimentos - Adiantamentos a fornecedores de investimentos (NÃO CORRENTE)
201,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Devedores e credores por acréscimos - Devedores por acréscimos de rendimentos
202,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Impostos diferidos - Ativos por impostos diferidos
203,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (CORRENTE)
204,269,Outras contas a receber e a pagar - Perdas por imparidade acumuladas - Outros devedores e credores - (NÃO CORRENTE)
205,2711,Pessoal - Remunerações a pagar - Aos órgãos sociais
206,2712,Pessoal - Remunerações a pagar - Ao pessoal
207,2721,Pessoal - Adiantamentos - Aos órgãos sociais
208,2722,Pessoal - Adiantamentos - Ao pessoal
209,2731,Pessoal – Adiantamentos para gastos por conta da empresa – Aos órgãos sociais
210,2732,Pessoal – Adiantamentos para gastos por conta da empresa – Ao pessoal
211,274,| 275 Pessoal – Adiantamentos - Outros
212,2761,Pessoal – Acréscimos com gastos com pessoal – Acréscimos por férias e subsídio férias e encargos
213,2762,Pessoal – Acréscimos com gastos com pessoal – Outros acréscimos
214,2771,Pessoal - Cauções - Dos órgãos sociais - (CORRENTE)
215,2771,Pessoal - Cauções - Dos órgãos sociais - (NÃO CORRENTE
216,2772,Pessoal - Cauções - Do pessoal - (CORRENTE)
217,2772,Pessoal - Cauções - Do pessoal - (NÃO CORRENTE)
218,2781,Pessoal - Outras operações - Com os órgãos sociais - (CORRENTE)
219,2781,Pessoal - Outras operações - Com os órgãos sociais - (NÃO CORRENTE)
220,2782,Pessoal - Outras operações - Com o pessoal - (CORRENTE)
221,2782,Pessoal - Outras operações - Com o pessoal - (NÃO CORRENTE)
222,279,Pessoal - Perdas por imparidade acumuladas
223,279,Pessoal - Perdas por imparidade acumuladas
224,279,Pessoal - Perdas por imparidade acumuladas empresa - Aos órgãos sociais
225,279,Pessoal - Perdas por imparidade acumuladas empresa – Ao pessoal
226,279,Pessoal - Perdas por imparidade acumuladas (CORRENTE)
227,279,Pessoal - Perdas por imparidade acumuladas CORRENTE)
228,279,Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (CORRENTE)
229,279,Pessoal - Perdas por imparidade acumuladas - Outras operações - Ao pessoal (NÃO CORRENTE)
230,281,Diferimentos - Gastos a reconhecer
231,282,Diferimentos - Rendimentos a reconhecer
232,283,Diferimentos – Subsídios para investimentos
233,291,Provisões - Impostos
234,292,Provisões - Garantias a clientes
235,293,Provisões - Processos judiciais em curso
236,294,Provisões - Acidentes de trabalho e doenças profissionais
237,295,Provisões - Matérias ambientais
238,296,Provisões - Contratos onerosos
239,297,Provisões - Reestruturação
240,298,Provisões - Outras provisões
241,3111,Ativos biológicos - Consumíveis - Animais
242,3112,Ativos biológicos - Consumíveis - Plantas
243,3121,Ativos biológicos - De produção - Animais
244,3122,Ativos biológicos - De produção - Plantas
245,313,Ativos biológicos – outros ativos biológicos
246,3211,Mercadorias – Compra – Mercado interno
247,3212,Mercadorias – Compra – Mercado externo
248,3221,Mercadorias – inventário – em armazém
249,3222,Mercadorias – inventário – em poder de terceiros
250,3223,Mercadorias – inventário – em trânsito
251,3224,Mercadorias – inventário – adiantamentos por conta de compras
252,3311,Produtos acabados e intermédios – produtos acabados – em armazém
253,3312,Produtos acabados e intermédios – produtos acabados – em poder de terceiros
254,3321,Produtos acabados e intermédios – produtos intermédios – em armazém
255,3322,Produtos acabados e intermédios – produtos intermédios – em poder de terceiros
256,341,"Subprodutos, desperdícios, resíduos e refugos - Subprodutos"
257,342,"Subprodutos, desperdícios, resíduos e refugos – Desperdícios, resíduos e refugos"
258,35,Produtos e trabalhos em curso Incluir conta 351
259,3611,"Matérias-primas, subsidiárias e de consumo"
260,3612,"Matérias-primas, subsidiárias e de consumo"
261,3621,"Matérias-primas, subsidiárias e de consumo"
262,3622,"Matérias-primas, subsidiárias e de consumo"
263,3623,"Matérias-primas, subsidiárias e de consumo"
264,3624,"Matérias-primas, subsidiárias e de consumo compras"
265,37,Outros produtos de consumo
266,4111,Investimentos financeiros - Investimentos em subsidiárias - Participações de capital Participação de capital
267,4111,Investimentos financeiros - Investimentos em subsidiárias - Participações de capital Trespasse (Goodwill)
268,4112,Investimentos financeiros - Investimentos em subsidiárias - Participações de capital — outros métodos
269,4113,Investimentos financeiros - Investimentos em subsidiárias - Empréstimos concedidos
270,4121,Investimentos financeiros - Investimentos em associadas – Participações de capital – método da equivalência patrimonial – Participação de capital
271,4121,Investimentos financeiros - Investimentos em associadas – Participações de capital – método da equivalência patrimonial – Trespasse (Goodwill)
272,4122,Investimentos financeiros - Investimentos em associadas - Participações de capital — outros métodos
273,4123,Investimentos financeiros - Investimentos em associadas – Empréstimos concedidos
274,4131,Investimentos financeiros - Investimentos em entidades conjuntamente controladas equivalência patrimonial - Participação de capital
275,4131,Investimentos financeiros - Investimentos em entidades conjuntamente controladas equivalência patrimonial – Trespasse (Goodwill)
276,4132,Investimentos financeiros - Investimentos em entidades conjuntamente controladas - Participações de capital — outros métodos
277,4133,Investimentos financeiros - Investimentos em entidades conjuntamente controladas - Empréstimos concedidos
278,4141,Investimentos financeiros - Investimentos noutras empresas - Participações de capital
279,4142,Investimentos financeiros - Investimentos noutras empresas - Empréstimos concedidos
280,4151,Investimentos financeiros - Outros investimentos financeiros - Detidos até à maturidade
281,4158,Investimentos financeiros - Outros investimentos financeiros - Outros
282,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em subsidiárias - Participações de capital Participação de capital
283,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em subsidiárias - Participações de capital Trespasse (Goodwill)
284,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em subsidiárias - Participações de capital — outros métodos
285,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em subsidiárias - Empréstimos concedidos
286,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em associadas - Participações de capital Participação de capital
287,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em associadas - Participações de capital Trespasse (Goodwill)
288,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em associadas - Participações de capital — outros métodos
289,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em associadas - Empréstimos concedidos
290,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos em entidades conjuntamente controladas equivalência patrimonial - Participação de capital
291,419,Investimentos financeiros - Perdas por imparidade acumuladas conjuntamente controladas - Participações de capital — método da equivalência patrimonial – Trespasse (Goodwill)
292,419,Investimentos financeiros - Perdas por imparidade acumuladas conjuntamente controladas - Participações de capital — outros métodos
293,419,Investimentos financeiros - Perdas por imparidade acumuladas conjuntamente controladas - Empréstimos concedidos
294,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos noutras empresas - Participações de capital
295,419,Investimentos financeiros - Perdas por imparidade acumuladas - Investimentos noutras empresas - Empréstimos concedidos
296,419,Investimentos financeiros - Perdas por imparidade acumuladas - Outros investimentos financeiros - Detidos até à maturidade
297,419,Investimentos financeiros - Perdas por imparidade acumuladas - Outros investimentos financeiros - Outros
298,421,Propriedades de investimento - Terrenos e recursos naturais
299,422,Propriedades de investimento - Edifícios e outras construções
300,426,Propriedades de investimento - Outras propriedades de investimento
301,428,Propriedades de investimento - Depreciações acumuladas - Terrenos e recursos naturais
302,428,Propriedades de investimento - Depreciações acumuladas - Edifícios e outras construções
303,428,Propriedades de investimento - Depreciações acumuladas - Outras propriedades de investimento
304,429,Propriedades de investimento - Perdas por imparidade acumuladas - Terrenos e recursos naturais
305,429,Propriedades de investimento - Perdas por imparidade acumuladas - Edifícios e outras construções
306,429,Propriedades de investimento - Perdas por imparidade acumuladas - Outras propriedades de investimento
307,431,Ativos fixos tangíveis - Terrenos e recursos naturais
308,432,Ativos fixos tangíveis - Edifícios e outras construções
309,433,Ativos fixos tangíveis - Equipamento básico
310,434,Ativos fixos tangíveis - Equipamento de transporte
311,435,Ativos fixos tangíveis - Equipamento administrativo
312,436,Ativos fixos tangíveis - Equipamentos biológicos
313,437,Ativos fixos tangíveis - Outros ativos fixos tangíveis
314,438,Ativos fixos tangíveis - Depreciações acumuladas - Terrenos e recursos naturais
315,438,Ativos fixos tangíveis - Depreciações acumuladas - Edifícios e outras construções
316,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento básico
317,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento de transporte
318,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamento administrativo
319,438,Ativos fixos tangíveis - Depreciações acumuladas - Equipamentos biológicos
320,438,Ativos fixos tangíveis - Depreciações acumuladas - Outros ativos fixos tangíveis
321,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Terrenos e recursos naturais
322,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Edifícios e outras construções
323,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento básico
324,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento de transporte
325,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamento administrativo
326,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Equipamentos biológicos
327,439,Ativos fixos tangíveis - Perdas por imparidade acumuladas - Outros ativos fixos tangíveis
328,441,Ativos intangíveis – Trespasse (Goodwill)
329,442,Ativos intangíveis – Propriedade industrial
330,443,Ativos intangíveis - Programas de computador
331,446,Ativos intangíveis - Outros ativos intangíveis Incluir contas 444 |
332,448,Ativos intangíveis - Amortizações acumuladas – Trespasse (Goodwill)
333,448,Ativos intangíveis - Amortizações acumuladas - Propriedade industrial
334,448,Ativos intangíveis - Amortizações acumuladas - Programas de computador
335,448,Ativos intangíveis - Amortizações acumuladas - Outros ativos intangíveis
336,449,Ativos intangíveis - Perdas por imparidade acumuladas – Trespasse (Goodwill)
337,449,Ativos intangíveis - Perdas por imparidade acumuladas - Propriedade industrial
338,449,Ativos intangíveis - Perdas por imparidade acumuladas - Programas de computador
339,449,Ativos intangíveis - Perdas por imparidade acumuladas - Outros ativos intangíveis
340,451,Investimentos em curso - Investimentos financeiros em curso
341,452,Investimentos em curso – Ativos fixos tangíveis em curso
342,453,Investimentos em curso - Ativos intangíveis em curso – Projetos de desenvolvimento Incluir conta 4532 a
343,454,Investimentos em curso - Adiantamentos por conta de investimentos - Investimentos financeiros em curso
